construct,genotype,mouse_id,sex,session_nr,block_nr,block_Id,trial_nr,trialtype,validity,CRonset,CRamp,CRpeaktime,FEC_amp,FEC_time,AmpAtTimeX,startle,CR
C57Bl/6J,wt,146,female,4,10,75273,12,tone10,valid,NaN,NaN,NaN,0.160081103020737,735,0.143277897813396,1,0
C57Bl/6J,wt,146,female,5,10,75429,12,tone10,invalid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,6,10,75590,12,tone10,valid,NaN,NaN,NaN,0.0901606421704857,768,0.0320686754838824,0,0
C57Bl/6J,wt,146,female,7,10,75749,12,tone10,valid,NaN,0.163166154593464,765,0.163166154593464,765,0.149669784236851,1,1
C57Bl/6J,wt,146,female,8,10,75909,12,tone10,valid,NaN,0.633226646155636,741,0.633226646155636,741,0.606042552067713,1,1
C57Bl/6J,wt,146,female,9,10,76070,12,tone10,valid,NaN,0.287495223797719,759,0.287495223797719,759,0.275218712717607,1,1
C57Bl/6J,wt,146,female,10,10,76229,12,tone10,valid,NaN,0.763207631195721,822,0.763207631195721,822,0.681299828013689,1,1
C57Bl/6J,wt,146,female,1,11,74790,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,2,11,74950,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,3,11,75110,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,4,11,75276,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,5,11,75432,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,6,11,75593,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,7,11,75752,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,8,11,75912,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,9,11,76073,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,10,11,76232,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
